Feature,GINE,GAT,GraphConv
P (Active Power),1.1546661,2.117865,0.107767195
Q (Reactive Power),1.2434081,0.4730093,3.7507246
X (Impedance),1.1495157,4.2664785,1.8069389
lr (Line Rating),1.2554452,3.7869492,4.8677564
Edge BC,1.8479125,1.4631336,3.8270488
Load %,5.7240367,1.1258618,1.1517507
Elec BC,1.1393486,2.3266363,10.686024
Extra Feature 1,1.2049102,4.1882467,1.1071143
Extra Feature 2,3.567744,0.2094321,0.53283435
Extra Feature 3,1.219545,0.6533608,0.22801338
Extra Feature 4,1.2564273,0.3590286,1.0703899
Extra Feature 5,1.251635,2.74815,2.4926305
Extra Feature 6,3.390004,4.363032,4.567001
Extra Feature 7,1.2002865,0.8703165,2.0602667
Extra Feature 8,1.2194885,1.596806,0.88157684
Extra Feature 9,1.2487866,1.1110399,1.19384
Extra Feature 10,1.0127466,1.2436917,0.9106106
Extra Feature 11,0.2167625,2.5112605,0.70179546
Extra Feature 12,1.2690073,0.44768447,0.9460775
Extra Feature 13,1.179167,1.3818432,6.4776692
Extra Feature 14,1.4932234,1.0628906,5.9743266
Extra Feature 15,1.1515293,2.8737674,2.2051315
Extra Feature 16,1.1799053,0.019336747,0.19446702
Extra Feature 17,1.2834136,1.890936,0.23214792
Extra Feature 18,0.3133162,4.2258654,3.376214
Extra Feature 19,2.6245515,5.519631,2.1420455
Extra Feature 20,1.1443932,3.058542,3.1031535
Extra Feature 21,1.1515235,5.2247653,1.8698728
Extra Feature 22,1.1686517,2.7113101,4.629623
Extra Feature 23,1.2575227,0.7472884,3.8930862
Extra Feature 24,2.828856,0.1896299,1.7989846
Extra Feature 25,0.8673253,1.3115641,3.27919
Extra Feature 26,1.1540002,2.1210837,0.09347127
Extra Feature 27,1.2427218,0.47190705,3.7292674
Extra Feature 28,1.1488485,4.2735095,1.8034877
Extra Feature 29,1.2547563,3.7911022,4.842739
Extra Feature 30,1.8260899,1.4635259,3.8104072
Extra Feature 31,5.740395,1.1282319,1.13829
Extra Feature 32,1.1386855,2.3308582,10.628317
Extra Feature 33,1.2042277,4.1908555,1.0916736
Extra Feature 34,3.5857596,0.21055236,0.5271651
Extra Feature 35,1.2188654,0.6547478,0.23099932
Extra Feature 36,1.2557383,0.36161026,1.0527883
Extra Feature 37,1.2321625,2.7516592,2.4889128
Extra Feature 38,3.3747518,4.368911,4.541739
Extra Feature 39,1.1996057,0.8721101,2.0376775
Extra Feature 40,1.2188077,1.5980779,0.88543147
Extra Feature 41,1.2480972,1.1115518,1.1715205
Extra Feature 42,1.0184469,1.2469869,0.906532
Extra Feature 43,0.23127978,2.5140631,0.68804747
Extra Feature 44,1.2683161,0.44957468,0.93746144
Extra Feature 45,1.1784939,1.3860219,6.4322104
Extra Feature 46,1.5175666,1.0632335,5.93111
Extra Feature 47,1.1508632,2.8778734,2.19776
Extra Feature 48,1.1792314,0.018573796,0.18801254
Extra Feature 49,1.2827181,1.8939542,0.22474489
Extra Feature 50,0.32819465,4.230076,3.3671124
Extra Feature 51,2.641168,5.527955,2.1223428
Extra Feature 52,1.1437275,3.0622728,3.0838153
Extra Feature 53,1.150857,5.229294,1.8597108
Extra Feature 54,1.1532245,2.7142832,4.5972476
Extra Feature 55,1.2568324,0.74924123,3.8727083
Extra Feature 56,2.8509562,0.19023265,1.7766967
Extra Feature 57,0.8291472,1.3143485,3.2702186
Extra Feature 58,0.08955626,0.15055278,0.064093955
Extra Feature 59,0.065978795,0.07712148,0.07593873
Extra Feature 60,0.17463277,0.13092403,0.055823658
Extra Feature 61,0.3035007,0.35102072,0.15186913
Extra Feature 62,0.108771436,0.15394191,0.08676695
Extra Feature 63,0.7208856,0.48514175,0.40488666
Extra Feature 64,0.5242515,0.72693324,0.4055815
